x y z radius WUSRNA WUSNuc_WS WUSCyto CLV3Sig1 CLV3_Peptide StochasticTimeOverFlow CLV3Sig2 MarkerOverFlow Monomer Dimer MonomerMarker DimerMarker ckReceptor ckLigand ckComplex WExport neighbors?
3.50491 -6.40994 0.462073 0.830462 0 0.0211473 0.105735 0 0.00716174 0 0 0 0 0 0 0 0 28.3693 0 0 6
5.81324 4.23921 5.59555 0.725014 0 0.241678 1.20828 0 0.0362915 0 0 0 0 0 0 0 0 27.8324 0 0 9
-4.23907 5.20711 6.40601 0.810861 0 0.477447 2.38693 0 0.0485814 0 0 0 0 0 0 0 0 27.5566 0 0 10
1.65397 -1.98168 8.72647 0.850143 0 14.9696 69.8628 0.180118 1.14054 0 17.35 0 1 0 0 0 0 25.8575 0 0 12
2.7828 6.00006 3.14449 0.875685 0 0.149391 0.746945 0 0.0187624 0 0 0 0 0 0 0 0 27.991 0 0 14
-1.11772 0.109447 2.80069 0.82565 0 9.47348 12.8339 0 0.0464574 0 0 0 0 0 0 0 5 24.1512 25 0 15
8.17239 3.38233 2.33793 0.812706 0 0.02012 0.100598 0 0.00808649 0 0 0 0 0 0 0 0 28.4209 0 0 9
3.1812 5.47118 6.78087 0.80735 0 0.718242 3.5899 0 0.0819574 0 0 0 0 0 0 0 0 27.4289 0 0 8
-3.60034 -0.272033 6.22835 0.753804 0 44.8207 53.6208 0 0.152822 0 0 0 1 0 0 0 5 25.2217 25 0 14
-2.05251 -4.5464 3.80713 0.8882 0 0.688232 3.44111 0 0.0319272 0 0 0 0 0 0 0 0 27.3178 0 0 15
-1.85163 -3.0878 2.23688 0.801287 0 0.606482 3.03237 0 0.0242886 0 0 0 0 0 0 0 0 26.9078 0 0 13
-3.22381 -5.62933 5.0006 0.803303 0 0.304234 1.52109 0 0.0302023 0 0 0 0 0 0 0 0 27.7598 0 0 13
-4.54173 -3.83197 7.17233 0.877633 0 0.939266 4.6949 0 0.0753721 0 0 0 0 0 0 0 0 27.2074 0 0 8
1.03396 4.84194 2.40886 0.767619 0 0.311781 1.55889 0 0.0206323 0 0 0 0 0 0 0 0 27.5252 0 0 14
-1.8947 3.57185 2.61653 0.793736 0 0.707644 3.53817 0 0.0266658 0 0 0 0 0 0 0 0 26.8833 0 0 12
5.80806 4.14426 4.3502 0.741738 0 0.145013 0.725032 0 0.023096 0 0 0 0 0 0 0 0 28.0077 0 0 13
-0.289521 2.23723 2.74943 0.849369 0 7.23587 9.8292 0 0.0409082 0 0 0 0 0 0 0 5 24.9666 25 0 14
6.41939 3.14539 4.32205 0.715845 0 0.158919 0.794559 0 0.0230542 0 0 0 0 0 0 0 0 27.9894 0 0 12
-0.05278 -4.99173 0.915679 0.843515 0 0.153508 0.767536 0 0.0142128 0 0 0 0 0 0 0 0 27.62 0 0 9
-4.91575 -1.78257 6.28289 0.71297 0 1.67025 8.34833 0 0.0763064 0 0 0 0 0 0 0 0 27.0201 0 0 13
-7.81222 2.42985 4.11853 0.769003 0 0.0697557 0.348775 0 0.0141142 0 0 0 0 0 0 0 0 28.2252 0 0 8
