x y z radius WUSRNA WUSNuc_WS WUSCyto CLV3Sig1 CLV3_Peptide StochasticTimeOverFlow CLV3Sig2 MarkerOverFlow Monomer Dimer MonomerMarker DimerMarker ckReceptor ckLigand ckComplex WExport neighbors?
3.50491 -6.40994 0.462073 0.830462 0 0.0205072 0.102532 0 0.0430273 0 0 0 0 0 0 0 0 28.3693 0 0 6
5.81324 4.23921 5.59555 0.725014 0 0.231802 1.15725 0 0.1714 0 0 0 0 0 0 0 0 27.8324 0 0 9
-4.23907 5.20711 6.40601 0.810861 0 0.458826 2.28592 0 0.268715 0 0 0 0 0 0 0 0 27.5566 0 0 10
1.65397 -1.98168 8.72647 0.850143 0 28.5305 63.3359 0.78788 5.70616 0 67.35 0 1 0 0 0 0 25.8575 0 0 12
2.7828 6.00006 3.14449 0.875685 0 0.144745 0.723708 0 0.093652 0 0 0 0 0 0 0 0 27.991 0 0 14
-1.11772 0.109447 2.80069 0.82565 0 9.23977 12.5208 0 0.244612 0 0 0 1 0 0 0 5 24.1512 25 0 15
8.17239 3.38233 2.33793 0.812706 0 0.0194557 0.0972634 0 0.0451391 0 0 0 0 0 0 0 0 28.4209 0 0 9
3.1812 5.47118 6.78087 0.80735 0 0.688525 3.42067 0 0.357672 0 0 0 0 0 0 0 0 27.4289 0 0 8
-3.60034 -0.272033 6.22835 0.753804 0 42.9329 51.862 0 0.823762 0 0 0 0 1 0 0 5 25.2217 25 0 14
-2.05251 -4.5464 3.80713 0.8882 0 0.667213 3.33596 0 0.178018 0 0 0 0 0 0 0 0 27.3178 0 0 15
-1.85163 -3.0878 2.23688 0.801287 0 0.59052 2.95253 0 0.134466 0 0 0 0 0 0 0 0 26.9078 0 0 13
-3.22381 -5.62933 5.0006 0.803303 0 0.293245 1.46407 0 0.170027 0 0 0 0 0 0 0 0 27.7598 0 0 13
-4.54173 -3.83197 7.17233 0.877633 0 0.903212 4.47607 0 0.422406 0 0 0 0 0 0 0 0 27.2074 0 0 8
1.03396 4.84194 2.40886 0.767619 0 0.303999 1.51998 0 0.104094 0 0 0 0 0 0 0 0 27.5252 0 0 14
-1.8947 3.57185 2.61653 0.793736 0 0.692181 3.46086 0 0.139589 0 0 0 0 0 0 0 0 26.8833 0 0 12
5.80806 4.14426 4.3502 0.741738 0 0.139617 0.697599 0 0.114292 0 0 0 0 0 0 0 0 28.0077 0 0 13
-0.289521 2.23723 2.74943 0.849369 0 7.07374 9.61042 0 0.206688 0 0 0 0 0 0 0 5 24.9666 25 0 14
6.41939 3.14539 4.32205 0.715845 0 0.153172 0.765309 0 0.11576 0 0 0 0 0 0 0 0 27.9894 0 0 12
-0.05278 -4.99173 0.915679 0.843515 0 0.149352 0.746739 0 0.0811132 0 0 0 0 0 0 0 0 27.62 0 0 9
-4.91575 -1.78257 6.28289 0.71297 0 1.61906 8.02209 0 0.426363 0 0 0 0 0 0 0 0 27.0201 0 0 13
-7.81222 2.42985 4.11853 0.769003 0 0.0676189 0.33799 0 0.0771095 0 0 0 0 0 0 0 0 28.2252 0 0 8
0.554098 -3.56915 1.17527 0.859472 0 0.304638 1.52315 0 0.103059 0 0 0 0 0 0 0 0 26.9951 0 0 10
-2.3579 6.40002 5.95347 0.762863 0 0.321985 1.60638 0 0.210691 0 0 0 0 0 0 0 0 27.6995 0 0 9
4.14266 6.18104 5.48122 0.809251 0 0.182659 0.91222 0 0.151381 0 0 0 0 0 0 0 0 27.9154 0 0 8
5.89754 -2.84165 0.72056 0.738428 0 0.0442463 0.221223 0 0.0517816 0 0 0 0 0 0 0 0 28.1643 0 0 8
-3.99452 -3.4352 3.06048 0.71218 0 0.342437 1.71215 0 0.122505 0 0 0 0 0 0 0 0 27.5668 0 0 10
6.46891 -2.99095 4.78732 0.813728 0 0.205099 1.02447 0 0.137629 0 0 0 0 0 0 0 0 27.9219 0 0 13
1.41198 -6.43219 3.86202 0.720215 0 0.166182 0.830875 0 0.115776 0 0 0 0 0 0 0 0 27.9431 0 0 9
4.25941 -0.818326 6.88485 0.775695 0 4.32048 20.8379 0 0.855159 0 0 0 0 0 0 0 0 26.4838 0 0 13
2.01829 -0.775199 2.00877 0.736805 0 0.947015 4.73487 0 0.161312 0 0 0 0 0 0 0 0 25.4092 0 0 12
-0.820965 -3.445 6.11933 0.777591 0 35.3937 44.3182 0 0.88652 0 0 0 1 0 0 0 5 25.132 25 0 10
5.73027 -0.89753 6.60248 0.824552 0 1.23298 6.10959 0 0.424129 0 0 0 0 0 0 0 0 27.191 0 0 11
-9.12341 -0.245085 1.06901 0.78872 0 0.0111122 0.0555561 0 0.0349966 0 0 0 0 0 0 0 0 28.5225 0 0 6
0.662585 7.30644 3.02472 0.889397 0 0.0703103 0.351455 0 0.0713871 0 0 0 0 0 0 0 0 28.2054 0 0 15
1.56484 -4.19164 1.91129 0.77542 0 0.285361 1.42676 0 0.102172 0 0 0 0 0 0 0 0 27.3041 0 0 15
8.67005 2.71666 0.433468 0.745921 0 0.00704161 0.0352047 0 0.0307906 0 0 0 0 0 0 0 0 28.5623 0 0 4
-2.20414 -2.28633 4.85051 0.859013 0 28.2543 36.4379 0 0.495865 0 0 0 1 0 0 0 5 25.0213 25 0 15
0.86921 8.59468 2.98319 0.771523 0 0.0253152 0.126556 0 0.0503093 0 0 0 0 0 0 0 0 28.4121 0 0 8
-4.89282 -3.96378 5.35968 0.854877 0 0.513915 2.56403 0 0.207239 0 0 0 0 0 0 0 0 27.5934 0 0 14
7.48865 3.06668 4.68642 0.886173 0 0.0910725 0.455121 0 0.0974452 0 0 0 0 0 0 0 0 28.1145 0 0 8
1.12058 3.09012 5.25876 0.885053 0 37.2285 46.2336 0 0.60499 0 0 0 1 0 0 0 5 25.0214 25 0 15
2.14743 1.49208 6.48075 0.898326 48.9969 293.898 137.251 1.16352 1.43399 0 126.3 0 2 2 0 0 5 24.8254 25 0 16
-3.37558 0.811428 6.50129 0.747158 0 11.4181 56.9443 0 0.944906 0 0 0 1 0 0 0 0 25.4428 0 0 12
3.02588 4.63439 5.05866 0.749145 0 0.832159 4.16069 0 0.252712 0 0 0 0 0 0 0 0 27.3422 0 0 13
-2.25581 -6.39037 2.66261 0.802429 0 0.0897016 0.448494 0 0.0753882 0 0 0 0 0 0 0 0 28.126 0 0 14
0.842816 5.46549 4.60458 0.782811 0 0.709295 3.54644 0 0.203298 0 0 0 0 0 0 0 0 27.3738 0 0 14
5.25846 1.0793 5.13486 0.705933 0 1.13625 5.68089 0 0.280446 0 0 0 0 0 0 0 0 27.1974 0 0 13
-3.36889 -0.086953 8.65484 0.882655 0 11.119 41.3791 0 2.74196 0 0 0 0 0 0 0 0 26.0409 0 0 9
-3.35148 0.911564 3.49353 0.736797 0 2.10652 10.5316 0 0.222835 0 0 0 0 0 0 0 0 25.9761 0 0 10
3.49051 3.05905 7.82724 0.882163 0 3.82846 18.1525 0 1.0452 0 0 0 0 0 0 0 0 26.6529 0 0 12
2.96546 2.96485 1.29282 0.708901 0 0.236846 1.1842 0 0.0944135 0 0 0 0 0 0 0 0 27.3159 0 0 9
-2.99693 -4.04557 0.759205 0.756028 0 0.104744 0.523708 0 0.0712113 0 0 0 0 0 0 0 0 27.8057 0 0 6
3.82884 -3.02296 7.78059 0.824322 0 2.80435 13.4003 0 0.96585 0 0 0 0 0 0 0 0 26.7816 0 0 10
2.17402 6.74892 5.75316 0.758942 0 0.346839 1.7304 0 0.208931 0 0 0 0 0 0 0 0 27.7088 0 0 10
0.505379 -4.20747 5.58433 0.753188 0 3.48514 17.4209 0 0.506929 0 0 0 0 0 0 0 0 26.2344 0 0 11
0.012431 -8.35208 3.83781 0.864896 0 0.0467913 0.233884 0 0.072864 0 0 0 0 0 0 0 0 28.2735 0 0 9
5.6829 -6.61384 2.60304 0.785891 0 0.0248544 0.124249 0 0.051408 0 0 0 0 0 0 0 0 28.3861 0 0 9
-3.4782 -6.16435 5.9586 0.793744 0 0.271566 1.35511 0 0.198823 0 0 0 0 0 0 0 0 27.7477 0 0 8
0.322955 4.24236 8.00429 0.740425 0 4.44175 20.6435 0 1.23762 0 0 0 1 0 0 0 0 26.5367 0 0 10
2.13153 5.96315 6.66062 0.784245 0 0.726099 3.60723 0 0.358885 0 0 0 0 0 0 0 0 27.4097 0 0 10
4.51531 4.69543 1.31854 0.719151 0 0.0627283 0.313631 0 0.0587772 0 0 0 0 0 0 0 0 28.0935 0 0 10
-5.89461 -1.56222 3.90223 0.743934 0 0.267409 1.33703 0 0.123073 0 0 0 0 0 0 0 0 27.8235 0 0 11
-1.67672 -5.83461 6.97602 0.899798 0 0.742929 3.6872 0 0.38503 0 0 0 0 0 0 0 0 27.3367 0 0 9
6.39967 -4.64543 1.60666 0.818509 0 0.026682 0.133389 0 0.0474761 0 0 0 0 0 0 0 0 28.367 0 0 14
-3.09632 -8.17942 2.73131 0.760007 0 0.0209382 0.104675 0 0.048805 0 0 0 0 0 0 0 0 28.4351 0 0 9
2.99064 -3.58379 3.70766 0.895509 0 0.915872 4.57911 0 0.198813 0 0 0 0 0 0 0 0 26.9161 0 0 13
1.99365 0.456981 2.59969 0.763734 0 5.5014 7.48461 0 0.19769 0 0 0 0 0 0 0 5 24.6557 25 0 11
1.80263 4.7235 1.53303 0.754761 0 0.195032 0.97514 0 0.0858337 0 0 0 0 0 0 0 0 27.6341 0 0 13
2.83505 -0.020136 3.12049 0.71036 0 7.39028 10.0365 0 0.225429 0 0 0 0 0 0 0 5 24.8001 25 0 9
7.59158 0.346641 3.10184 0.79052 0 0.0714711 0.35725 0 0.0701276 0 0 0 0 0 0 0 0 28.2124 0 0 13
5.61041 -6.24601 1.47187 0.719347 0 0.0168287 0.0841321 0 0.0426419 0 0 0 0 0 0 0 0 28.4425 0 0 8
-8.15057 -1.19096 4.08118 0.806356 0 0.070557 0.352663 0 0.0813362 0 0 0 0 0 0 0 0 28.1954 0 0 10
0.083073 4.63076 4.27869 0.793958 0 1.60469 8.02309 0 0.245091 0 0 0 0 0 0 0 0 26.7512 0 0 12
0.667401 -2.48054 5.48354 0.866523 49.6312 265.669 129.518 1.78748 0.871657 0 133.65 0 1 2 0 0 5 24.0906 25 0 15
3.44368 7.9432 3.11878 0.738618 0 0.0336043 0.167987 0 0.0582887 0 0 0 0 0 0 0 0 28.3553 0 0 8
-1.68937 3.82495 8.12209 0.868879 0 5.34316 24.3215 0 1.42119 0 0 0 0 0 0 0 0 26.4885 0 0 9
2.92172 -0.975866 4.63709 0.848492 0 34.7299 43.6153 0 0.470859 0 0 0 1 0 0 0 5 24.6232 25 0 13
-2.6779 4.1434 3.13566 0.799312 0 0.460969 2.30483 0 0.132734 0 0 0 0 0 0 0 0 27.398 0 0 13
-5.06979 2.66093 0.643491 0.89119 0 0.0683108 0.341549 0 0.0572526 0 0 0 0 0 0 0 0 28.07 0 0 9
5.15354 -1.44743 7.49049 0.815777 0 1.81001 8.86322 0 0.649382 0 0 0 0 0 0 0 0 26.9515 0 0 8
4.93926 -0.114899 6.25872 0.83799 0 2.56068 12.631 0 0.520084 0 0 0 0 0 0 0 0 26.7785 0 0 14
-1.42212 -6.0174 3.75028 0.854262 0 0.285939 1.42965 0 0.134185 0 0 0 0 0 0 0 0 27.7752 0 0 17
-7.16598 -0.69601 4.14421 0.744355 0 0.121456 0.606991 0 0.0966315 0 0 0 0 0 0 0 0 28.0841 0 0 12
4.32057 1.75413 5.45758 0.884724 0 2.18585 10.9278 0 0.399373 0 0 0 0 0 0 0 0 26.6927 0 0 13
-0.451372 -7.17679 3.77576 0.870879 0 0.105699 0.528224 0 0.0970356 0 0 0 0 0 0 0 0 28.0881 0 0 14
3.54532 2.18167 4.61501 0.7927 0 2.54894 12.7428 0 0.345475 0 0 0 1 0 0 0 0 26.3107 0 0 12
-4.67096 -4.6302 6.26578 0.741186 0 0.476788 2.37631 0 0.252642 0 0 0 0 0 0 0 0 27.5412 0 0 10
-2.23452 1.08618 6.20086 0.775028 49.3911 362.289 157.367 1.59224 1.10753 0 108.75 0 0 3 0 0 5 24.1895 25 0 13
