x y z radius WUSRNA WUSNuc_WS WUSCyto CLV3Sig1 CLV3_Peptide StochasticTimeOverFlow CLV3Sig2 MarkerOverFlow Monomer Dimer MonomerMarker DimerMarker ckReceptor ckLigand ckComplex WExport neighbors?
3.50491 -6.40994 0.462073 0.830462 0 0.0185494 0.0927764 0 0.106449 0 0 0 0 0 0 0 0 28.3693 0 0 6
5.81324 4.23921 5.59555 0.725014 0 0.205881 1.02219 0 0.384989 0 0 0 0 0 0 0 0 27.8324 0 0 9
-4.23907 5.20711 6.40601 0.810861 0 0.408821 2.00807 0 0.605022 0 0 0 0 0 0 0 0 27.5566 0 0 10
1.65397 -1.98168 8.72647 0.850143 0 41.1692 48.7188 2.39887 13.5952 0 225.15 0 1 2 0 0 0 25.8575 0 0 12
2.7828 6.00006 3.14449 0.875685 0 0.131826 0.659322 0 0.213239 0 0 0 0 0 0 0 0 27.991 0 0 14
-1.11772 0.109447 2.80069 0.82565 0 8.53285 11.5841 0 0.546012 0 0 0 0 0 0 0 5 24.1512 25 0 15
8.17239 3.38233 2.33793 0.812706 0 0.017574 0.0878436 0 0.106291 0 0 0 0 0 0 0 0 28.4209 0 0 9
3.1812 5.47118 6.78087 0.80735 0 0.615704 2.9884 0 0.783818 0 0 0 0 0 0 0 0 27.4289 0 0 8
-3.60034 -0.272033 6.22835 0.753804 0 37.501 46.5633 0 1.91933 0 0 0 1 1 0 0 5 25.2217 25 0 14
-2.05251 -4.5464 3.80713 0.8882 0 0.602763 3.01478 0 0.421207 0 0 0 0 0 0 0 0 27.3178 0 0 15
-1.85163 -3.0878 2.23688 0.801287 0 0.540788 2.70468 0 0.316206 0 0 0 0 0 0 0 0 26.9078 0 0 13
-3.22381 -5.62933 5.0006 0.803303 0 0.260934 1.29433 0 0.409396 0 0 0 0 0 0 0 0 27.7598 0 0 13
-4.54173 -3.83197 7.17233 0.877633 0 0.808132 3.84757 0 1.01136 0 0 0 0 0 0 0 0 27.2074 0 0 8
1.03396 4.84194 2.40886 0.767619 0 0.28167 1.40869 0 0.235794 0 0 0 0 0 0 0 0 27.5252 0 0 14
-1.8947 3.57185 2.61653 0.793736 0 0.646281 3.23203 0 0.315488 0 0 0 0 0 0 0 0 26.8833 0 0 12
5.80806 4.14426 4.3502 0.741738 0 0.125058 0.623382 0 0.260032 0 0 0 0 0 0 0 0 28.0077 0 0 13
-0.289521 2.23723 2.74943 0.849369 0 6.59307 8.96899 0 0.45807 0 0 0 0 0 0 0 5 24.9666 25 0 14
6.41939 3.14539 4.32205 0.715845 0 0.137567 0.685645 0 0.264344 0 0 0 0 0 0 0 0 27.9894 0 0 12
-0.05278 -4.99173 0.915679 0.843515 0 0.136439 0.682403 0 0.194973 0 0 0 0 0 0 0 0 27.62 0 0 9
-4.91575 -1.78257 6.28289 0.71297 0 1.48339 7.05947 0 1.0149 0 0 0 0 0 0 0 0 27.0201 0 0 13
-7.81222 2.42985 4.11853 0.769003 0 0.0611792 0.305455 0 0.184307 0 0 0 0 0 0 0 0 28.2252 0 0 8
0.554098 -3.56915 1.17527 0.859472 0 0.279469 1.39775 0 0.243003 0 0 0 0 0 0 0 0 26.9951 0 0 10
-2.3579 6.40002 5.95347 0.762863 0 0.288899 1.42909 0 0.47127 0 0 0 0 0 0 0 0 27.6995 0 0 9
