x y z radius WUSRNA WUSNuc_WS WUSCyto CLV3Sig1 CLV3_Peptide StochasticTimeOverFlow CLV3Sig2 MarkerOverFlow Monomer Dimer MonomerMarker DimerMarker ckReceptor ckLigand ckComplex WExport neighbors?
3.50491 -6.40994 0.462073 0.830462 0 0.04619 0.066344 0 0 0 0 0 0 0 0 0 0 28.3693 0 0 6
5.81324 4.23921 5.59555 0.725014 0 0.275896 0.383686 0 0 0 0 0 0 0 0 0 0 27.8324 0 0 9
-4.23907 5.20711 6.40601 0.810861 0 0.485281 0.63844 0 0 0 0 0 0 0 0 0 0 27.5566 0 0 10
1.65397 -1.98168 8.72647 0.850143 0 16.4988 5.1281 0.91017 0 0 118.45 0 1 0 0 0 0 25.8575 0 0 12
2.7828 6.00006 3.14449 0.875685 0 0.185448 0.266275 0 0 0 0 0 0 0 0 0 0 27.991 0 0 14
-1.11772 0.109447 2.80069 0.82565 0 7.49786 2.92877 0 0 0 0 0 1 0 0 0 5 24.1512 25 0 15
8.17239 3.38233 2.33793 0.812706 0 0.0443023 0.063464 0 0 0 0 0 0 0 0 0 0 28.4209 0 0 9
3.1812 5.47118 6.78087 0.80735 0 0.691776 0.869665 0 0 0 0 0 0 0 0 0 0 27.4289 0 0 8
-3.60034 -0.272033 6.22835 0.753804 0 20.9367 8.0734 0 0 0 0 0 1 0 0 0 5 25.2217 25 0 14
-2.05251 -4.5464 3.80713 0.8882 0 0.611233 0.87806 0 0 0 0 0 0 0 0 0 0 27.3178 0 0 15
-1.85163 -3.0878 2.23688 0.801287 0 0.589735 0.84712 0 0 0 0 0 0 0 0 0 0 26.9078 0 0 13
-3.22381 -5.62933 5.0006 0.803303 0 0.330821 0.458853 0 0 0 0 0 0 0 0 0 0 27.7598 0 0 13
-4.54173 -3.83197 7.17233 0.877633 0 0.926427 1.09271 0 0 0 0 0 0 0 0 0 0 27.2074 0 0 8
1.03396 4.84194 2.40886 0.767619 0 0.338701 0.486393 0 0 0 0 0 0 0 0 0 0 27.5252 0 0 14
-1.8947 3.57185 2.61653 0.793736 0 0.674311 0.968405 0 0 0 0 0 0 0 0 0 0 26.8833 0 0 12
