x y z radius WUSRNA WUSNuc_WS WUSCyto CLV3Sig1 CLV3_Peptide StochasticTimeOverFlow CLV3Sig2 MarkerOverFlow Monomer Dimer MonomerMarker DimerMarker ckReceptor ckLigand ckComplex WExport neighbors?
3.50491 -6.40994 0.462073 0.830462 0 0.00461899 0.0066344 0 0.0436747 0 0 0 0 0 0 0 0 28.3693 0 0 6
5.81324 4.23921 5.59555 0.725014 0 0.0275897 0.0383686 0 0.176251 0 0 0 0 0 0 0 0 27.8324 0 0 9
-4.23907 5.20711 6.40601 0.810861 0 0.0485281 0.063844 0 0.226493 0 0 0 0 0 0 0 0 27.5566 0 0 10
1.65397 -1.98168 8.72647 0.850143 0 1.64988 0.51281 1.45198 7.90066 0 102.65 0 1 2 0 0 0 25.8575 0 0 12
2.7828 6.00006 3.14449 0.875685 0 0.0185448 0.0266275 0 0.092222 0 0 0 0 0 0 0 0 27.991 0 0 14
-1.11772 0.109447 2.80069 0.82565 0 0.749785 0.292877 0 0.235492 0 0 0 0 0 0 0 5 24.1512 25 0 15
8.17239 3.38233 2.33793 0.812706 0 0.00443024 0.0063464 0 0.0462694 0 0 0 0 0 0 0 0 28.4209 0 0 9
3.1812 5.47118 6.78087 0.80735 0 0.0691776 0.0869665 0 0.345775 0 0 0 0 0 0 0 0 27.4289 0 0 8
-3.60034 -0.272033 6.22835 0.753804 0 2.09367 0.80734 0 0.828771 0 0 0 1 3 0 0 5 25.2217 25 0 14
-2.05251 -4.5464 3.80713 0.8882 0 0.0611233 0.087806 0 0.187898 0 0 0 0 0 0 0 0 27.3178 0 0 15
-1.85163 -3.0878 2.23688 0.801287 0 0.0589735 0.084712 0 0.137024 0 0 0 0 0 0 0 0 26.9078 0 0 13
-3.22381 -5.62933 5.0006 0.803303 0 0.0330821 0.0458853 0 0.183066 0 0 0 0 0 0 0 0 27.7598 0 0 13
-4.54173 -3.83197 7.17233 0.877633 0 0.0926427 0.109271 0 0.462567 0 0 0 0 0 0 0 0 27.2074 0 0 8
1.03396 4.84194 2.40886 0.767619 0 0.0338702 0.0486393 0 0.100572 0 0 0 0 0 0 0 0 27.5252 0 0 14
-1.8947 3.57185 2.61653 0.793736 0 0.0674311 0.0968405 0 0.128568 0 0 0 0 0 0 0 0 26.8833 0 0 12
5.80806 4.14426 4.3502 0.741738 0 0.0182787 0.0258698 0 0.117255 0 0 0 0 0 0 0 0 28.0077 0 0 13
-0.289521 2.23723 2.74943 0.849369 0 0.576417 0.225287 0 0.195974 0 0 0 0 0 0 0 5 24.9666 25 0 14
6.41939 3.14539 4.32205 0.715845 0 0.0194922 0.0275788 0 0.119883 0 0 0 0 0 0 0 0 27.9894 0 0 12
-0.05278 -4.99173 0.915679 0.843515 0 0.0209175 0.0300468 0 0.082926 0 0 0 0 0 0 0 0 27.62 0 0 9
-4.91575 -1.78257 6.28289 0.71297 0 0.145052 0.170541 0 0.441399 0 0 0 0 0 0 0 0 27.0201 0 0 13
-7.81222 2.42985 4.11853 0.769003 0 0.0111448 0.0158853 0 0.0713592 0 0 0 0 0 0 0 0 28.2252 0 0 8
0.554098 -3.56915 1.17527 0.859472 0 0.0369398 0.0530615 0 0.103952 0 0 0 0 0 0 0 0 26.9951 0 0 10
-2.3579 6.40002 5.95347 0.762863 0 0.0364095 0.049577 0 0.184292 0 0 0 0 0 0 0 0 27.6995 0 0 9
4.14266 6.18104 5.48122 0.809251 0 0.0233121 0.0326325 0 0.150322 0 0 0 0 0 0 0 0 27.9154 0 0 8
5.89754 -2.84165 0.72056 0.738428 0 0.00815944 0.0117188 0 0.0518116 0 0 0 0 0 0 0 0 28.1643 0 0 8
-3.99452 -3.4352 3.06048 0.71218 0 0.0379695 0.054538 0 0.126325 0 0 0 0 0 0 0 0 27.5668 0 0 10
6.46891 -2.99095 4.78732 0.813728 0 0.0247088 0.0347498 0 0.143543 0 0 0 0 0 0 0 0 27.9219 0 0 13
1.41198 -6.43219 3.86202 0.720215 0 0.0203327 0.0292097 0 0.121208 0 0 0 0 0 0 0 0 27.9431 0 0 9
4.25941 -0.818326 6.88485 0.775695 0 0.384069 0.330594 0 0.979535 0 0 0 0 0 0 0 0 26.4838 0 0 13
2.01829 -0.775199 2.00877 0.736805 0 0.0929921 0.13357 0 0.160397 0 0 0 0 0 0 0 0 25.4092 0 0 12
-0.820965 -3.445 6.11933 0.777591 0 1.69689 0.658855 0 1.00815 0 0 0 2 0 0 0 5 25.132 25 0 10
5.73027 -0.89753 6.60248 0.824552 0 0.109646 0.132261 0 0.471352 0 0 0 0 0 0 0 0 27.191 0 0 11
-9.12341 -0.245085 1.06901 0.78872 0 0.00314724 0.00451263 0 0.0357556 0 0 0 0 0 0 0 0 28.5225 0 0 6
0.662585 7.30644 3.02472 0.889397 0 0.0109413 0.0156186 0 0.069154 0 0 0 0 0 0 0 0 28.2054 0 0 15
1.56484 -4.19164 1.91129 0.77542 0 0.0333034 0.0478398 0 0.103847 0 0 0 0 0 0 0 0 27.3041 0 0 15
8.67005 2.71666 0.433468 0.745921 0 0.00223695 0.00320844 0 0.031558 0 0 0 0 0 0 0 0 28.5623 0 0 4
-2.20414 -2.28633 4.85051 0.859013 0 1.63169 0.63334 0 0.518462 0 0 0 1 0 0 0 5 25.0213 25 0 15
0.86921 8.59468 2.98319 0.771523 0 0.00528885 0.00757135 0 0.0496512 0 0 0 0 0 0 0 0 28.4121 0 0 8
-4.89282 -3.96378 5.35968 0.854877 0 0.0515085 0.070242 0 0.218745 0 0 0 0 0 0 0 0 27.5934 0 0 14
7.48865 3.06668 4.68642 0.886173 0 0.0135025 0.0191842 0 0.100871 0 0 0 0 0 0 0 0 28.1145 0 0 8
1.12058 3.09012 5.25876 0.885053 0 1.94502 0.751595 0 0.572911 0 0 0 0 0 0 0 5 25.0214 25 0 15
2.14743 1.49208 6.48075 0.898326 1.19869 4.6431 1.69827 1.25504 1.46772 0 109.05 0 1 2 0 0 5 24.8254 25 0 16
-3.37558 0.811428 6.50129 0.747158 0 0.608151 0.87288 0 0.878578 0 0 0 0 0 0 0 0 25.4428 0 0 12
3.02588 4.63439 5.05866 0.749145 0 0.0703408 0.101 0 0.246783 0 0 0 0 0 0 0 0 27.3422 0 0 13
-2.25581 -6.39037 2.66261 0.802429 0 0.0128773 0.0184977 0 0.0798764 0 0 0 0 0 0 0 0 28.126 0 0 14
0.842816 5.46549 4.60458 0.782811 0 0.0635182 0.091209 0 0.191042 0 0 0 0 0 0 0 0 27.3738 0 0 14
5.25846 1.0793 5.13486 0.705933 0 0.0899198 0.129136 0 0.298103 0 0 0 0 0 0 0 0 27.1974 0 0 13
-3.36889 -0.086953 8.65484 0.882655 0 1.16709 0.42461 0 2.76681 0 0 0 0 0 0 0 0 26.0409 0 0 9
-3.35148 0.911564 3.49353 0.736797 0 0.17074 0.245226 0 0.207763 0 0 0 0 0 0 0 0 25.9761 0 0 10
3.49051 3.05905 7.82724 0.882163 0 0.36331 0.267583 0 1.05254 0 0 0 0 0 0 0 0 26.6529 0 0 12
2.96546 2.96485 1.29282 0.708901 0 0.0301194 0.0432539 0 0.0935478 0 0 0 0 0 0 0 0 27.3159 0 0 9
-2.99693 -4.04557 0.759205 0.756028 0 0.0163398 0.0234697 0 0.0737005 0 0 0 0 0 0 0 0 27.8057 0 0 6
3.82884 -3.02296 7.78059 0.824322 0 0.271483 0.215491 0 1.14646 0 0 0 0 0 0 0 0 26.7816 0 0 10
2.17402 6.74892 5.75316 0.758942 0 0.0387617 0.053002 0 0.198964 0 0 0 0 0 0 0 0 27.7088 0 0 10
0.505379 -4.20747 5.58433 0.753188 0 0.220036 0.316159 0 0.565205 0 0 0 0 0 0 0 0 26.2344 0 0 11
0.012431 -8.35208 3.83781 0.864896 0 0.00813884 0.011617 0 0.0767639 0 0 0 0 0 0 0 0 28.2735 0 0 9
5.6829 -6.61384 2.60304 0.785891 0 0.00517862 0.00741535 0 0.0517734 0 0 0 0 0 0 0 0 28.3861 0 0 9
-3.4782 -6.16435 5.9586 0.793744 0 0.0319911 0.0438047 0 0.216485 0 0 0 0 0 0 0 0 27.7477 0 0 8
0.322955 4.24236 8.00429 0.740425 0 0.515054 0.308132 0 1.07894 0 0 0 0 0 0 0 0 26.5367 0 0 10
2.13153 5.96315 6.66062 0.784245 0 0.0728787 0.091194 0 0.336831 0 0 0 0 0 0 0 0 27.4097 0 0 10
4.51531 4.69543 1.31854 0.719151 0 0.0103959 0.0149277 0 0.0593179 0 0 0 0 0 0 0 0 28.0935 0 0 10
